_id,SL No,Ward No,Ward Name,Bus Stops,LATITUDE,LONGITUDE
85,85,Outside BBMP Limits,Outside BBMP Limits,"Sammenahalli,SARJAPURA, HOBLI,IN FRONT OF MILK PRODUCT CO.OPERATIVE SOCIETY",12.83260129,77.74768431
86,86,Outside BBMP Limits,Outside BBMP Limits,"APMC Fruit Market,Huskuru,Near Sigena Agrahara",12.842653,77.687205
87,87,Outside BBMP Limits,Outside BBMP Limits,"Sampige,ELECTRONIC CITY POST,IN FRONT OF AMBIKA DEPARTMENT STORE",12.83459,77.697319
88,88,Outside BBMP Limits,Outside BBMP Limits,"Singhena agrahara,ANEKAL TALUK,OPPOSITE OF MILK DAIRY",12.837705,77.716106
89,89,Outside BBMP Limits,Outside BBMP Limits,Sarjapura Bus Stand,12.861371,77.785564
90,90,Outside BBMP Limits,Outside BBMP Limits,"Sarjapura Police Station,Sarjapura,Police Station",12.86101,77.783622
91,91,Outside BBMP Limits,Outside BBMP Limits,Garments,12.844415,77.783081
92,92,Outside BBMP Limits,Outside BBMP Limits,boorugunte,12.842237,77.783785
93,93,Outside BBMP Limits,Outside BBMP Limits,"Billapura,SARJAPURA, HOBLI,IN FRONT OF GOVT. PRIMARY SCHOOL",12.837457,77.785071
94,94,Outside BBMP Limits,Outside BBMP Limits,Exide Factory,12.835132,77.785356
95,95,Outside BBMP Limits,Outside BBMP Limits,"Tyavakanahalli,SARJAPURA HOBLI,OPPOSITE OF S.V.S. PROVISION STORE",12.827821,77.786305
96,96,Outside BBMP Limits,Outside BBMP Limits,"Modhalli,SARJAPURA HOBLI,IN FRONT OF MILK PRODUCT CO-OPERATIVE SOCIETY",12.823528,77.786122
97,97,Outside BBMP Limits,Outside BBMP Limits,Silk Form,12.81579,77.785343
98,98,Outside BBMP Limits,Outside BBMP Limits,Bidaraguppa,12.806024,77.783608
99,99,Outside BBMP Limits,Outside BBMP Limits,"Indlubele,ATTIBELE HOBLI,IN FRONT OF GOVT. JUNIOR PRIMARY SCHOOL",12.791028,77.776357
100,100,Outside BBMP Limits,Outside BBMP Limits,"Jigala cross,ATTIBELE,IN FRONT OF MAYURA BAKERY & SWEETS",12.781967,77.771996
101,101,Outside BBMP Limits,Outside BBMP Limits,Attibele,12.778573,77.770128
102,102,Outside BBMP Limits,Outside BBMP Limits,"TVS Cross Attibele,Attibele,OPPOSITE OF SRI MUKAMBIKA HOTEL",12.768511,77.770186
103,103,Outside BBMP Limits,Outside BBMP Limits,"Arehalli,ATTIBELE-HUBLI,OPPOSITE OF SRI MARAMMA DEVI TEMPLE",12.763231,77.767043
104,104,Outside BBMP Limits,Outside BBMP Limits,"Bhakthipura,ANEKAL TALUK,BESIDE OPEN AREA & FIELD",12.757233,77.761739
105,105,Outside BBMP Limits,Outside BBMP Limits,"Harohalli,ANEKAL TALUK,OPPOSITE OF SRI YALLAMMA DEVI TEMPLE & IN FRONT OF SUMANT STORE",12.753966,77.755959
106,106,Outside BBMP Limits,Outside BBMP Limits,"Mayasandra,ANEKAL TALUK,IN FRONT OF GOVERNMENT PRIMARY SCHOOL",12.750411,77.748006
107,107,Outside BBMP Limits,Outside BBMP Limits,"Thattanahalli Gate,Thattanahalli",12.735358,77.730825
108,108,Outside BBMP Limits,Outside BBMP Limits,Besthamana Halli,12.730999,77.726831
109,109,Outside BBMP Limits,Outside BBMP Limits,Karpura Gate,12.724351,77.720738
110,110,Outside BBMP Limits,Outside BBMP Limits,Haldenahalli,12.717081,77.708929
111,111,Outside BBMP Limits,Outside BBMP Limits,"Anekal ,ANEKAL,BUS STAND",12.708994,77.696378
112,112,Outside BBMP Limits,Outside BBMP Limits,"NARASAPURA,ATTIBELE HOBLI,OPPOSITE OF SRI CHOWDESHWARI DEVI TEMPLE & ASHWATA KATTE",12.800383,77.801582
113,113,Outside BBMP Limits,Outside BBMP Limits,"Kambipura,KAMBIPURA,IN FRONT OF GOVERNMENT PRIMARY SCHOOL",12.871969,77.461813
114,114,Outside BBMP Limits,Outside BBMP Limits,"Jandemara,KAMBIPURA,OPPOSITE MEERSAB PROVISION STORE",12.874805,77.461236
115,115,Outside BBMP Limits,Outside BBMP Limits,"Madarasa school,KAMBIPURA,IN FRONT OF MADARASA SCHOOL",12.880563,77.459335
